date,user,type,ioc,tags,context
2026-07-11,threatfox,DOMAIN,wrryvujx.zaribbala.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,eksq11dg.dancebet90.app,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,dancebet90.app,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,lpzi.behtarin-site-shartbandi.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,lnfl.behtarin-site-shartbandi.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,llgdqtat.betpublic.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,fpbgrevs.betpublic.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,iwyx.bekabet.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,btye.bekabet.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,tjsojdll.betropol.bet,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,5jsdebh3.backgammon.download,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,jhzehezj.backgammon.download,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,borobet.vip,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,puqrhdze.onjabet1.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,orjrdtyn.site-shartbandi-khareji.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,bhzyklcp.site-shartbandi-khareji.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,s7rpvlti.bahigo.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,cyjzdlpi.bahigo.casino,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,jnjv.bahigo90bet.com,"js.clearfake, domain",n/a
2026-07-11,threatfox,DOMAIN,dirb.bahigo90bet.com,"js.clearfake, domain",n/a
